district,variety_id,available,supplier,availability_note
Bududa,NARO/2011/GNT/020,yes,NASECO; Savanna Seeds,2 licensed seed company(ies) listed nationally
Bugiri,NARO/2011/GNT/020,yes,NASECO; Savanna Seeds,2 licensed seed company(ies) listed nationally
Bukedea,NARO/2011/GNT/020,yes,NASECO; Savanna Seeds,2 licensed seed company(ies) listed nationally
Bukwo,NARO/2011/GNT/020,yes,NASECO; Savanna Seeds,2 licensed seed company(ies) listed nationally
Buliisa,NARO/2011/GNT/020,yes,NASECO; Savanna Seeds,2 licensed seed company(ies) listed nationally
Bundibugyo,NARO/2011/GNT/020,yes,NASECO; Savanna Seeds,2 licensed seed company(ies) listed nationally
Bushenyi,NARO/2011/GNT/020,yes,NASECO; Savanna Seeds,2 licensed seed company(ies) listed nationally
Busia,NARO/2011/GNT/020,yes,NASECO; Savanna Seeds,2 licensed seed company(ies) listed nationally
Butaleja,NARO/2011/GNT/020,yes,NASECO; Savanna Seeds,2 licensed seed company(ies) listed nationally
Dokolo,NARO/2011/GNT/020,yes,NASECO; Savanna Seeds,2 licensed seed company(ies) listed nationally
